,Most deprived decile,Second most deprived decile,Third more deprived decile,Fourth more deprived decile,Fifth more deprived decile,Fifth less deprived decile,Fourth less deprived decile,Third less deprived decile,Second least deprived decile,Least deprived decile
2014,23,23,13,24,18,20,15,19,16,15
2015,30,21,18,27,14,16,15,17,20,16
2016,32,27,23,31,19,18,19,19,26,19
2017,35,25,23,27,15,20,17,13,19,15
