,Most deprived decile,Second most deprived decile,Third more deprived decile,Fourth more deprived decile,Fifth more deprived decile,Fifth less deprived decile,Fourth less deprived decile,Third less deprived decile,Second least deprived decile,Least deprived decile
2010 Q1,12.9,14.74,13.27,14.47,14.73,14.37,14.12,14.02,15.29,14.66
2010 Q2,13.2,14.97,13.68,14.95,15.07,14.84,14.61,14.64,15.75,15.07
2010 Q3,13.59,15.17,14.08,15.14,15.49,15.14,14.88,15.16,16.31,15.48
2010 Q4,11.33,12.87,12.19,12.83,13.03,13.06,12.77,12.76,13.59,13.14
2011 Q1,12.41,13.31,12.33,13.1,13.14,13.2,12.97,13.05,13.51,12.89
2011 Q2,12.84,13.9,12.84,13.69,13.86,14.03,13.82,13.97,14.52,13.51
2011 Q3,12.72,13.18,12.61,13.25,13.57,13.51,13.61,14.09,14.57,13.17
2011 Q4,10.94,11.57,11.16,11.42,11.8,11.89,12.08,12.33,12.9,11.65
2012 Q1,10.72,11.21,10.8,10.84,11.16,11.29,11.58,11.73,12.42,11.03
2012 Q2,11.3,11.61,11.32,11.63,11.81,11.94,12.34,12.47,13.23,11.48
2012 Q3,11.55,11.69,11.65,12.17,12.2,12.36,12.91,13.02,13.83,11.54
2012 Q4,10.12,10.04,10.4,10.66,10.91,10.74,11.53,11.47,12.31,10.3
2013 Q1,10.22,10.11,10.24,10.66,10.65,10.45,11.22,11.22,11.9,10.1
2013 Q2,11.1,10.87,10.94,11.54,11.5,11.21,12.1,12.27,12.97,11.07
2013 Q3,11.73,11.5,11.56,12.09,12.02,11.69,12.93,13.28,13.73,11.79
2013 Q4,10.28,10.13,10.42,10.87,10.71,10.36,11.64,11.95,12.04,10.53
2014 Q1,10.01,9.83,10.08,10.59,10.41,9.98,11.25,11.78,11.63,10.28
2014 Q2,10.58,10.05,10.9,11.15,11.04,10.59,11.94,12.48,12.44,11.01
2014 Q3,11.16,10.28,11.47,11.91,11.81,11.27,12.75,13.22,13.09,11.61
2014 Q4,9.23,8.68,9.95,10.16,10.09,9.79,11.02,11.25,11.13,9.91
2015 Q1,9.27,8.66,9.73,10.04,9.9,9.56,10.63,10.86,10.83,9.64
2015 Q2,9.7,9.25,10.4,10.67,10.61,10.17,11.25,11.9,11.72,10.62
2015 Q3,9.74,9.47,10.41,10.8,10.95,10.5,11.17,12.12,11.9,10.92
2015 Q4,8.06,8.01,8.91,9.24,9.33,9.14,9.38,10.48,10.31,9.58
2016 Q1,7.5,7.48,8.06,8.37,8.49,8.53,8.5,9.7,9.43,8.79
2016 Q2,8.24,8.2,8.67,9.11,9.32,9.27,9.32,10.65,10.33,9.76
2016 Q3,8.57,8.51,9.15,9.56,9.73,9.7,9.72,11.11,10.79,10.32
2016 Q4,7.46,7.36,8.01,8.26,8.48,8.32,8.57,9.56,9.33,8.98
2017 Q1,7.39,7.42,7.97,8.23,8.5,8.2,8.47,9.43,9.26,8.91
2017 Q2,8.12,7.98,8.68,9.0,9.31,8.86,9.32,10.33,10.0,9.79
