,Most deprived decile,Second most deprived decile,Third more deprived decile,Fourth more deprived decile,Fifth more deprived decile,Fifth less deprived decile,Fourth less deprived decile,Third less deprived decile,Second least deprived decile,Least deprived decile
2010 Q1,162.1,167.06,171.2,169.23,173.05,169.05,169.37,167.48,164.51,159.49
2010 Q2,150.58,153.42,156.04,151.95,156.98,152.76,151.91,148.99,146.97,143.38
2010 Q3,147.72,150.47,153.42,148.69,153.83,150.63,148.83,146.79,144.61,140.79
2010 Q4,194.69,195.3,193.61,192.84,197.28,190.14,187.84,187.42,183.55,180.36
2011 Q1,164.02,187.32,190.73,187.46,191.13,187.51,184.29,185.44,181.87,176.69
2011 Q2,138.91,158.64,159.28,155.47,160.58,157.86,154.91,154.94,151.07,147.06
2011 Q3,136.87,156.16,156.85,152.2,159.61,155.47,153.3,152.81,149.61,146.37
2011 Q4,166.61,186.06,185.18,184.1,188.55,183.95,181.72,181.44,177.25,173.82
2012 Q1,170.24,193.63,194.15,193.26,196.6,192.51,192.14,192.43,186.11,183.39
2012 Q2,151.61,172.46,174.83,168.81,174.29,172.93,169.7,170.75,165.51,160.59
2012 Q3,146.53,167.03,168.72,163.1,168.07,167.63,163.85,163.82,160.28,155.7
2012 Q4,177.42,200.03,199.99,195.21,198.81,197.08,192.4,193.29,188.54,183.23
2013 Q1,169.03,190.48,195.68,188.32,194.9,191.72,188.89,190.14,185.73,178.12
2013 Q2,144.38,163.99,168.34,160.52,167.52,165.07,162.69,162.9,159.11,152.8
2013 Q3,135.99,154.54,156.74,150.15,156.31,154.79,153.38,152.35,149.2,143.38
2013 Q4,172.85,185.64,185.98,181.53,183.63,183.7,181.03,179.29,175.1,170.26
2014 Q1,173.31,186.36,189.27,181.2,185.64,184.45,182.26,180.41,175.98,170.92
2014 Q2,154.89,168.04,169.59,162.59,167.35,167.44,164.86,162.09,158.08,153.7
2014 Q3,141.33,155.01,157.75,148.65,154.55,153.91,152.45,148.46,146.11,140.23
2014 Q4,178.98,193.16,193.68,186.34,188.19,186.7,185.64,181.16,175.36,171.52
2015 Q1,172.48,188.4,191.43,183.61,190.59,189.2,187.71,184.65,178.85,171.91
2015 Q2,148.75,157.15,159.65,149.43,157.17,155.71,154.92,151.53,146.77,139.85
2015 Q3,140.74,144.3,147.49,138.02,145.84,145.76,144.65,140.81,137.68,132.9
2015 Q4,168.28,168.67,171.89,164.37,168.92,170.26,167.58,164.91,160.23,153.85
2016 Q1,175.03,176.98,181.08,174.08,178.17,180.56,177.51,175.94,169.84,163.5
2016 Q2,151.88,155.44,158.35,149.5,155.76,157.14,154.13,151.68,147.09,140.42
2016 Q3,141.59,145.53,148.04,139.19,146.91,147.88,144.31,142.99,139.27,133.47
2016 Q4,170.31,172.95,176.55,168.92,173.3,174.53,170.42,169.06,164.01,157.99
2017 Q1,169.2,170.82,177.38,168.27,173.6,175.22,172.29,171.48,165.31,157.63
2017 Q2,141.98,144.07,149.73,141.57,145.15,150.0,146.13,145.23,141.19,134.47
